n,param,lead_chunk_size,tail_chunk_size,status,compile_time_s,run_time_s,grad,peak_mem_bytes,subprocess_s
500,c_k,8,32,OK,86.70773959159851,21.180045127868652,-116.00219941308313,3731670016,135.85211563110352
1000,c_k,8,32,OK,561.8273756504059,41.84716796875,-215.97652577260433,6735743488,661.505589723587
2000,c_k,32,32,OK,557.4271874427795,83.40216279029846,-385.22419995338373,5400601088,707.9058623313904
3000,c_k,32,32,OK,556.1019096374512,123.98631477355957,-2531.4045793709306,7369941760,756.0341060161591
5000,c_k,32,32,OK,561.2024919986725,242.9688594341278,4.0001271636784776e+29,9841848576,897.803674697876
10000,c_k,64,32,OK,562.7234296798706,656.7401919364929,9.010699582550797e+112,10445849856,1357.8347897529602
500,c_eps,8,32,OK,567.9543619155884,21.33713436126709,-12.011526583462855,3738013440,619.4500057697296
1000,c_eps,8,32,OK,565.6515805721283,42.002761125564575,-26.79484205406279,6742086912,642.0011787414551
2000,c_eps,32,32,OK,555.5989530086517,82.62881183624268,-45.30941243468101,5406944512,681.6559455394745
3000,c_eps,32,32,OK,559.9050242900848,123.56112575531006,-75.41711157681112,7375853056,735.8843185901642
5000,c_eps,32,32,OK,563.4076867103577,220.2088189125061,52331948356.92003,9844443392,854.511866569519
10000,c_eps,64,32,OK,571.1927103996277,577.0981838703156,7.674208522943431e+69,10439548160,1263.725975036621
