day,mld_mean_m,mld_ma_mean_m
1,-31.374534371326767,-31.374534371326767
2,-38.4674321371603,-34.92067688792448
3,-38.126486507373,-35.98848294527772
4,-37.850670145078006,-36.45347580447167
5,-37.82263160553462,-36.72572641128043
6,-38.461557821952596,-37.08360957502086
7,-39.27452921429147,-37.42296984489015
8,-39.78715274684626,-37.731199715168025
9,-40.32658880650873,-38.0264544318559
10,-40.89888706951207,-38.316560758811406
11,-41.41028692012448,-38.599159843584154
12,-41.91138200334746,-38.87565802133332
13,-42.41709026080986,-39.14715949881164
14,-42.904008930211276,-39.4143011795875
15,-43.348059735209254,-39.675173040935555
16,-43.77927226375337,-39.93019482410631
17,-44.11751616825098,-40.17692896494246
18,-44.44030200969189,-40.41406504021462
19,-44.72908813857278,-40.64134720214956
20,-45.01328914052418,-40.860035288168
21,-45.2546853092218,-41.069330498407304
22,-45.45985759734168,-41.268843936287944
23,-45.674905367869705,-41.46007799538335
24,-45.94209052298685,-41.64646090010466
25,-46.32549026765416,-41.83321454970176
26,-46.55293184357001,-42.01431470700883
27,-46.75136896934483,-42.18931962359489
28,-46.93966034002732,-42.35852226663435
29,-47.156396813220155,-42.523502373675356
30,-47.380498833030735,-42.684927966151825
31,-47.56269615216927,-42.84179530335985
32,-47.76668651082904,-42.99521190352901
33,-47.96086351749541,-43.14519539039575
34,-48.16022209752044,-43.29220114973032
35,-48.35263968681534,-43.43628694234319
36,-48.55360387374743,-43.57793319132267
37,-48.75432796288354,-43.71733143816304
38,-48.88602064694263,-43.85378642744545
39,-49.0680467902742,-43.98789555742928
40,-49.26728729224785,-44.120264039126226
41,-49.473134119201625,-44.25118000682083
42,-49.642705313528374,-44.37996250769519
43,-49.84270888030657,-44.50738920489768
44,-50.048864987395916,-44.63369196984811
45,-50.25279390756484,-44.758896454681306
